Timestamp;Domain;Type;Group;Server;Status;Latency;Answer_Snippet
2026-01-30 18:55:25;google.com;A;GOOGLE;8.8.8.8;NOERROR;39;142.250.218.238
2026-01-30 18:55:25;google.com;A;GOOGLE;8.8.4.4;NOERROR;95;142.250.218.238
2026-01-30 18:55:25;google.com;A;CLOUDFLARE;1.1.1.1;NOERROR;15;172.217.172.142
2026-01-30 18:55:25;google.com;A;CLOUDFLARE;1.0.0.1;NOERROR;11;172.217.172.142
2026-01-30 18:55:26;google.com;AAAA;GOOGLE;8.8.8.8;NOERROR;35;2800:3f0:4004:814::200e
2026-01-30 18:55:26;google.com;AAAA;GOOGLE;8.8.4.4;NOERROR;35;2800:3f0:4004:814::200e
2026-01-30 18:55:26;google.com;AAAA;CLOUDFLARE;1.1.1.1;NOERROR;11;2800:3f0:4001:814::200e
2026-01-30 18:55:26;google.com;AAAA;CLOUDFLARE;1.0.0.1;NOERROR;11;2800:3f0:4001:814::200e
2026-01-30 18:55:26;google.com;TXT;GOOGLE;8.8.8.8;NOERROR;95;apple-domain-verification=30afIBcvSuDV2PLX cisco-ci-domain-verification=47c38bc8c4b74b7233e9053220c1
2026-01-30 18:55:26;google.com;TXT;GOOGLE;8.8.4.4;NOERROR;147;apple-domain-verification=30afIBcvSuDV2PLX cisco-ci-domain-verification=47c38bc8c4b74b7233e9053220c1
2026-01-30 18:55:27;google.com;TXT;CLOUDFLARE;1.1.1.1;NOERROR;87;apple-domain-verification=30afIBcvSuDV2PLX cisco-ci-domain-verification=47c38bc8c4b74b7233e9053220c1
2026-01-30 18:55:27;google.com;TXT;CLOUDFLARE;1.0.0.1;NOERROR;31;apple-domain-verification=30afIBcvSuDV2PLX cisco-ci-domain-verification=47c38bc8c4b74b7233e9053220c1
2026-01-30 18:55:27;www.google.com;A;GOOGLE;8.8.8.8;NOERROR;47;142.250.219.4
2026-01-30 18:55:27;www.google.com;A;GOOGLE;8.8.4.4;NOERROR;31;142.250.219.36
2026-01-30 18:55:27;www.google.com;A;CLOUDFLARE;1.1.1.1;NOERROR;15;142.250.79.196
2026-01-30 18:55:27;www.google.com;A;CLOUDFLARE;1.0.0.1;NOERROR;11;142.250.79.196
2026-01-30 18:55:27;www.google.com;AAAA;GOOGLE;8.8.8.8;NOERROR;27;2800:3f0:4004:80b::2004
2026-01-30 18:55:28;www.google.com;AAAA;GOOGLE;8.8.4.4;NOERROR;31;2800:3f0:4004:813::2004
2026-01-30 18:55:28;www.google.com;AAAA;CLOUDFLARE;1.1.1.1;NOERROR;15;2800:3f0:4001:808::2004
2026-01-30 18:55:28;www.google.com;AAAA;CLOUDFLARE;1.0.0.1;NOERROR;15;2800:3f0:4001:808::2004
2026-01-30 18:55:28;www.google.com;TXT;GOOGLE;8.8.8.8;NOERROR;151;
2026-01-30 18:55:28;www.google.com;TXT;GOOGLE;8.8.4.4;NOERROR;91;
2026-01-30 18:55:28;www.google.com;TXT;CLOUDFLARE;1.1.1.1;NOERROR;87;
2026-01-30 18:55:29;www.google.com;TXT;CLOUDFLARE;1.0.0.1;NOERROR;11;
2026-01-30 18:55:29;mail.google.com;A;GOOGLE;8.8.8.8;NOERROR;43;142.250.78.197
2026-01-30 18:55:29;mail.google.com;A;GOOGLE;8.8.4.4;NOERROR;39;142.250.78.197
2026-01-30 18:55:29;mail.google.com;A;CLOUDFLARE;1.1.1.1;NOERROR;11;172.217.30.69
2026-01-30 18:55:29;mail.google.com;A;CLOUDFLARE;1.0.0.1;NOERROR;15;172.217.30.69
2026-01-30 18:55:29;mail.google.com;AAAA;GOOGLE;8.8.8.8;NOERROR;151;2800:3f0:4004:80e::2005
2026-01-30 18:55:30;mail.google.com;AAAA;GOOGLE;8.8.4.4;NOERROR;91;2800:3f0:4004:80e::2005
2026-01-30 18:55:30;mail.google.com;AAAA;CLOUDFLARE;1.1.1.1;NOERROR;15;2800:3f0:4001:83c::2005
2026-01-30 18:55:30;mail.google.com;AAAA;CLOUDFLARE;1.0.0.1;NOERROR;11;2800:3f0:4001:83c::2005
2026-01-30 18:55:30;mail.google.com;TXT;GOOGLE;8.8.8.8;NOERROR;91;google-site-verification=PncXpRKRCAlDAdlesTtNFf6k9TvgxgcRfojdaKkEACY
2026-01-30 18:55:30;mail.google.com;TXT;GOOGLE;8.8.4.4;NOERROR;31;google-site-verification=PncXpRKRCAlDAdlesTtNFf6k9TvgxgcRfojdaKkEACY
2026-01-30 18:55:30;mail.google.com;TXT;CLOUDFLARE;1.1.1.1;NOERROR;87;google-site-verification=PncXpRKRCAlDAdlesTtNFf6k9TvgxgcRfojdaKkEACY
2026-01-30 18:55:31;mail.google.com;TXT;CLOUDFLARE;1.0.0.1;NOERROR;19;google-site-verification=PncXpRKRCAlDAdlesTtNFf6k9TvgxgcRfojdaKkEACY
2026-01-30 18:55:31;wikipedia.org;A;QUAD9;9.9.9.9;NOERROR;11;195.200.68.224
2026-01-30 18:55:31;wikipedia.org;A;QUAD9;149.112.112.112;NOERROR;15;195.200.68.224
2026-01-30 18:55:31;wikipedia.org;A;OPENDNS;208.67.222.222;NOERROR;35;195.200.68.224
2026-01-30 18:55:31;wikipedia.org;A;OPENDNS;208.67.220.220;NOERROR;43;195.200.68.224
2026-01-30 18:55:31;wikipedia.org;SOA;QUAD9;9.9.9.9;NOERROR;11;ns0.wikimedia.org. hostmaster.wikimedia.org. 2026012613 43200 7200 1209600 3600
2026-01-30 18:55:31;wikipedia.org;SOA;QUAD9;149.112.112.112;NOERROR;19;ns0.wikimedia.org. hostmaster.wikimedia.org. 2026012613 43200 7200 1209600 3600
2026-01-30 18:55:32;wikipedia.org;SOA;OPENDNS;208.67.222.222;NOERROR;35;ns0.wikimedia.org. hostmaster.wikimedia.org. 2026012613 43200 7200 1209600 3600
2026-01-30 18:55:32;wikipedia.org;SOA;OPENDNS;208.67.220.220;NOERROR;27;ns0.wikimedia.org. hostmaster.wikimedia.org. 2026012613 43200 7200 1209600 3600
2026-01-30 18:55:32;pt.wikipedia.org;A;QUAD9;9.9.9.9;NOERROR;143;195.200.68.224 dyna.wikimedia.org.
2026-01-30 18:55:32;pt.wikipedia.org;A;QUAD9;149.112.112.112;NOERROR;15;195.200.68.224 dyna.wikimedia.org.
2026-01-30 18:55:32;pt.wikipedia.org;A;OPENDNS;208.67.222.222;NOERROR;31;195.200.68.224 dyna.wikimedia.org.
2026-01-30 18:55:32;pt.wikipedia.org;A;OPENDNS;208.67.220.220;NOERROR;39;195.200.68.224 dyna.wikimedia.org.
2026-01-30 18:55:33;pt.wikipedia.org;SOA;QUAD9;9.9.9.9;NOERROR;39;dyna.wikimedia.org. ns0.wikimedia.org. hostmaster.wikimedia.org. 2026012018 43200 7200 1209600 600
2026-01-30 18:55:33;pt.wikipedia.org;SOA;QUAD9;149.112.112.112;NOERROR;15;dyna.wikimedia.org. ns0.wikimedia.org. hostmaster.wikimedia.org. 2026012018 43200 7200 1209600 600
2026-01-30 18:55:33;pt.wikipedia.org;SOA;OPENDNS;208.67.222.222;NOERROR;31;dyna.wikimedia.org. ns0.wikimedia.org. hostmaster.wikimedia.org. 2026012018 43200 7200 1209600 600
2026-01-30 18:55:33;pt.wikipedia.org;SOA;OPENDNS;208.67.220.220;NOERROR;35;dyna.wikimedia.org. ns0.wikimedia.org. hostmaster.wikimedia.org. 2026012018 43200 7200 1209600 600
2026-01-30 18:55:33;en.wikipedia.org;A;QUAD9;9.9.9.9;NOERROR;15;195.200.68.224 dyna.wikimedia.org.
2026-01-30 18:55:33;en.wikipedia.org;A;QUAD9;149.112.112.112;NOERROR;15;195.200.68.224 dyna.wikimedia.org.
2026-01-30 18:55:33;en.wikipedia.org;A;OPENDNS;208.67.222.222;NOERROR;39;195.200.68.224 dyna.wikimedia.org.
2026-01-30 18:55:34;en.wikipedia.org;A;OPENDNS;208.67.220.220;NOERROR;31;195.200.68.224 dyna.wikimedia.org.
2026-01-30 18:55:34;en.wikipedia.org;SOA;QUAD9;9.9.9.9;NOERROR;315;dyna.wikimedia.org. ns0.wikimedia.org. hostmaster.wikimedia.org. 2026012018 43200 7200 1209600 600
2026-01-30 18:55:34;en.wikipedia.org;SOA;QUAD9;149.112.112.112;NOERROR;11;dyna.wikimedia.org. ns0.wikimedia.org. hostmaster.wikimedia.org. 2026012018 43200 7200 1209600 600
2026-01-30 18:55:34;en.wikipedia.org;SOA;OPENDNS;208.67.222.222;NOERROR;31;dyna.wikimedia.org. ns0.wikimedia.org. hostmaster.wikimedia.org. 2026012018 43200 7200 1209600 600
2026-01-30 18:55:34;en.wikipedia.org;SOA;OPENDNS;208.67.220.220;NOERROR;35;dyna.wikimedia.org. ns0.wikimedia.org. hostmaster.wikimedia.org. 2026012018 43200 7200 1209600 600
2026-01-30 18:55:35;cisco.com;MX;OPENDNS;208.67.222.222;NOERROR;39;10 alln-mx-01.cisco.com. 20 rcdn-mx-01.cisco.com. 30 aer-mx-01.cisco.com.
2026-01-30 18:55:35;cisco.com;MX;OPENDNS;208.67.220.220;NOERROR;35;10 alln-mx-01.cisco.com. 20 rcdn-mx-01.cisco.com. 30 aer-mx-01.cisco.com.
2026-01-30 18:55:35;cisco.com;TXT;OPENDNS;208.67.222.222;NOERROR;51;926723159-3188410 airtable-verification=18787f2dc47697bb547e871772aba0be airtable-verification=4114c
2026-01-30 18:55:35;cisco.com;TXT;OPENDNS;208.67.220.220;NOERROR;55;926723159-3188410 airtable-verification=18787f2dc47697bb547e871772aba0be airtable-verification=4114c
2026-01-30 18:55:36;ietf.org;NS;ROOT_SERVERS;198.41.0.4;NOERROR;171;
2026-01-30 18:55:36;ietf.org;NS;ROOT_SERVERS;199.9.14.201;NOERROR;179;
2026-01-30 18:55:36;ietf.org;NS;ROOT_SERVERS;192.33.4.12;NOERROR;159;
2026-01-30 18:55:36;ietf.org;NS;ROOT_SERVERS;199.7.91.13;NOERROR;151;
2026-01-30 18:55:36;ietf.org;NS;ROOT_SERVERS;192.203.230.10;NOERROR;11;
