Timestamp;Server;Groups;PingStatus;Latency;Jitter;Loss;Port53;Port853;Version;Recursion;EDNS;Cookie;DNSSEC;DoH;TLS
2026-01-30 18:48:18;192.203.230.10;ROOT_SERVERS;OK;14.113;0.523;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-01-30 18:48:40;198.41.0.4;ROOT_SERVERS;SLOW;159.259;2.154;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-01-30 18:48:47;208.67.220.220;OPENDNS;OK;26.381;1.632;0;OPEN;OPEN;HIDDEN;OPEN;OK;UNSUPP;OK;OK;OK
2026-01-30 18:48:53;8.8.4.4;GOOGLE;OK;25.179;1.842;0;OPEN;OPEN;HIDDEN;OPEN;OK;UNSUPP;OK;OK;OK
2026-01-30 18:49:02;1.1.1.1;CLOUDFLARE;OK;10.143;1.068;0;OPEN;OPEN;HIDDEN;OPEN;OK;UNSUPP;OK;OK;OK
2026-01-30 18:49:23;198.97.190.53;ROOT_SERVERS;OK;52.294;2.858;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-01-30 18:49:43;192.36.148.17;ROOT_SERVERS;SLOW;179.166;0.582;0;OPEN;CLOSED;REVEALED;CLOSED;OK;OK;UNSUPP;UNSUPP;UNSUPP
2026-01-30 18:49:50;9.9.9.9;QUAD9;OK;15.652;5.970;0;OPEN;OPEN;REVEALED;OPEN;OK;UNSUPP;OK;OK;OK
2026-01-30 18:50:14;192.112.36.4;ROOT_SERVERS;DOWN;0;0;100;OPEN;CLOSED;HIDDEN;CLOSED;OK;OK;UNSUPP;UNSUPP;UNSUPP
2026-01-30 18:50:20;8.8.8.8;GOOGLE;OK;30.271;1.240;0;OPEN;OPEN;HIDDEN;OPEN;OK;UNSUPP;OK;OK;OK
2026-01-30 18:50:41;192.58.128.30;ROOT_SERVERS;SLOW;152.590;1.358;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-01-30 18:50:51;199.9.14.201;ROOT_SERVERS;SLOW;178.592;5.298;0;OPEN;OPEN;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;OK
2026-01-30 18:51:12;193.0.14.129;ROOT_SERVERS;SLOW;219.204;0.935;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-01-30 18:51:34;192.5.5.241;ROOT_SERVERS;OK;11.144;0.516;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-01-30 18:51:41;208.67.222.222;OPENDNS;OK;31.098;0.256;0;OPEN;OPEN;HIDDEN;OPEN;OK;UNSUPP;OK;OK;OK
2026-01-30 18:52:01;202.12.27.33;ROOT_SERVERS;OK;46.224;4.264;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-01-30 18:53:29;199.7.83.42;ROOT_SERVERS;DOWN;0;0;100;CLOSED;CLOSED;HIDDEN;UNKNOWN;UNSUPP;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-01-30 18:53:49;199.7.91.13;ROOT_SERVERS;SLOW;150.893;1.276;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-01-30 18:53:59;1.0.0.1;CLOUDFLARE;OK;18.529;4.961;0;OPEN;OPEN;HIDDEN;OPEN;OK;UNSUPP;OK;OK;OK
2026-01-30 18:54:06;149.112.112.112;QUAD9;OK;11.562;1.071;0;OPEN;OPEN;REVEALED;OPEN;OK;UNSUPP;OK;OK;OK
2026-01-30 18:54:26;192.33.4.12;ROOT_SERVERS;SLOW;138.758;3.343;0;OPEN;CLOSED;REVEALED;CLOSED;OK;OK;UNSUPP;UNSUPP;UNSUPP
