Timestamp;Server;Groups;PingStatus;Latency;Jitter;Loss;Port53;Port853;Version;Recursion;EDNS;Cookie;DNSSEC;DoH;TLS
2025-12-21 23:31:50;192.203.230.10;ROOT_SERVERS;OK;14.767;2.683;0;OPEN;CLOSED;REVEALED;CLOSED;OK;ABSENT;NA;FAIL;FAIL
2025-12-21 23:32:02;198.41.0.4;ROOT_SERVERS;SLOW;163.731;3.083;0;OPEN;CLOSED;REVEALED;CLOSED;OK;ABSENT;NA;FAIL;FAIL
2025-12-21 23:32:05;208.67.220.220;OPENDNS;OK;26.269;1.976;0;OPEN;OPEN;HIDDEN;OPEN;OK;ABSENT;OK;OK;OK
2025-12-21 23:32:09;8.8.4.4;GOOGLE;OK;26.909;1.853;0;OPEN;OPEN;HIDDEN;OPEN;OK;ABSENT;OK;OK;OK
2025-12-21 23:32:12;1.1.1.1;CLOUDFLARE;OK;18.244;4.147;0;OPEN;OPEN;HIDDEN;OPEN;OK;ABSENT;OK;OK;OK
2025-12-21 23:32:24;198.97.190.53;ROOT_SERVERS;OK;53.318;3.431;0;OPEN;CLOSED;REVEALED;CLOSED;OK;ABSENT;NA;FAIL;FAIL
2025-12-21 23:32:37;192.36.148.17;ROOT_SERVERS;SLOW;187.562;5.600;0;OPEN;CLOSED;REVEALED;CLOSED;OK;OK;NA;FAIL;FAIL
2025-12-21 23:32:40;9.9.9.9;QUAD9;OK;18.271;7.189;0;OPEN;OPEN;REVEALED;OPEN;OK;ABSENT;OK;OK;OK
2025-12-21 23:32:57;192.112.36.4;ROOT_SERVERS;DOWN;0;0;100;OPEN;CLOSED;HIDDEN;CLOSED;OK;OK;NA;FAIL;FAIL
2025-12-21 23:33:00;8.8.8.8;GOOGLE;OK;32.926;1.462;0;OPEN;OPEN;HIDDEN;OPEN;OK;ABSENT;OK;OK;OK
2025-12-21 23:33:13;192.58.128.30;ROOT_SERVERS;SLOW;158.959;1.858;0;OPEN;CLOSED;REVEALED;CLOSED;OK;ABSENT;NA;FAIL;FAIL
2025-12-21 23:33:20;199.9.14.201;ROOT_SERVERS;SLOW;179.507;1.668;0;OPEN;OPEN;REVEALED;CLOSED;OK;ABSENT;NA;FAIL;OK
2025-12-21 23:33:33;193.0.14.129;ROOT_SERVERS;SLOW;215.374;1.436;0;OPEN;CLOSED;REVEALED;CLOSED;OK;ABSENT;NA;FAIL;FAIL
2025-12-21 23:33:45;192.5.5.241;ROOT_SERVERS;OK;16.647;5.101;0;OPEN;CLOSED;REVEALED;CLOSED;OK;ABSENT;NA;FAIL;FAIL
2025-12-21 23:33:49;208.67.222.222;OPENDNS;OK;37.615;5.422;0;OPEN;OPEN;HIDDEN;OPEN;OK;ABSENT;OK;OK;OK
2025-12-21 23:34:01;202.12.27.33;ROOT_SERVERS;OK;37.201;3.178;0;OPEN;CLOSED;REVEALED;CLOSED;OK;ABSENT;NA;FAIL;FAIL
2025-12-21 23:34:13;199.7.83.42;ROOT_SERVERS;OK;58.921;8.348;0;OPEN;CLOSED;REVEALED;CLOSED;OK;ABSENT;NA;FAIL;FAIL
2025-12-21 23:34:25;199.7.91.13;ROOT_SERVERS;SLOW;154.876;2.259;0;OPEN;CLOSED;REVEALED;CLOSED;OK;ABSENT;NA;FAIL;FAIL
2025-12-21 23:34:28;1.0.0.1;CLOUDFLARE;OK;13.021;3.606;0;OPEN;OPEN;HIDDEN;OPEN;OK;ABSENT;OK;OK;OK
2025-12-21 23:34:31;149.112.112.112;QUAD9;OK;16.147;1.026;0;OPEN;OPEN;REVEALED;OPEN;OK;ABSENT;OK;OK;OK
2025-12-21 23:34:44;192.33.4.12;ROOT_SERVERS;SLOW;138.521;1.973;0;OPEN;CLOSED;REVEALED;CLOSED;OK;OK;NA;FAIL;FAIL
